tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure,Type of Disease (Bacterial Blight/Telya),Anthracnose,Fruit Spot/ Rot,Fusarium Wilt,Fruit Borer / Blight Blora
31,16,12,1008,0.0,5,10.7,30,0,0,0,0,0
21,40,8,1013,0.0,4,9.8,44,0,0,0,0,0
21,28,8,1013,0.0,5,9.6,44,0,0,0,0,0
33,33,10,1008,0.0,5,10.4,35,0,0,0,0,0
24,34,10,1012,0.0,5,9.6,45,0,0,0,0,0
22,96,11,1000,1.5999999999999899,1,3.9,72,0,0,1,1,0
24,27,5,1014,0.0,5,9.8,41,0,0,0,0,0
22,94,11,1002,1.03333333333333,1,3.9,65,0,0,1,0,1
25,77,2,1011,0.166666666666666,3,9.7,55,1,1,0,0,0
24,82,12,1004,0.0333333333333333,3,5.4,50,0,0,0,0,1
23,95,6,1004,0.36666666666666603,2,3.9,66,0,0,1,1,0
28,26,6,1014,0.0,5,9.8,40,0,0,0,0,0
24,81,15,1007,0.0666666666666666,3,3.9,50,0,0,0,0,1
23,53,8,1016,0.0,5,9.6,40,0,0,0,0,0
32,41,22,1006,0.0,4,10.4,35,1,0,0,0,0
22,25,9,1014,0.0,5,9.6,44,0,0,0,0,0
33,24,11,1007,0.0,5,11.2,32,0,0,0,0,0
28,28,12,1010,0.0,5,11.2,34,0,0,0,0,0
25,34,6,1014,0.0,5,9.8,44,0,0,0,0,0
23,84,23,1002,0.6,1,6.2,61,0,0,1,0,1
25,85,5,1004,0.133333333333333,3,3.9,60,1,0,1,0,1
23,88,20,1002,1.2,1,3.8,64,0,0,1,0,1
27,21,8,1012,0.0,5,10.1,45,0,0,0,0,0
34,21,9,1008,0.0,5,11.2,35,0,0,0,0,0
32,34,7,1007,0.0,5,10.4,32,0,0,0,0,0
24,30,20,1010,0.0,5,10.1,44,0,0,0,0,0
24,31,9,1011,0.0,5,9.6,42,0,0,0,0,0
25,39,5,1011,0.0,5,9.7,42,0,0,0,0,0
23,88,15,1003,0.36666666666666603,3,3.9,62,0,0,1,0,1
24,82,32,1001,0.36666666666666603,1,3.8,61,0,0,1,0,1
30,33,13,1009,0.0,5,11.2,35,0,0,0,0,0
25,80,7,1003,0.2,3,3.9,55,1,1,0,0,1
26,24,10,1010,0.0,5,9.8,43,0,0,0,0,0
20,19,7,1012,0.0,5,9.8,44,0,0,0,0,0
34,33,11,1002,0.0,5,10.4,31,0,0,0,0,0
29,23,6,1011,0.0,5,10.7,32,0,0,0,0,0
32,19,9,1009,0.0,5,11.2,32,0,0,0,0,0
32,19,6,1008,0.0,5,10.7,35,0,0,0,0,0
25,86,23,1001,0.4333333333333329,1,3.9,62,1,0,1,0,1
23,80,11,1007,0.133333333333333,3,9.1,60,0,0,0,0,1
25,76,24,1009,0.1,3,3.9,47,1,1,0,0,0
24,36,7,1011,0.0,5,9.6,41,0,0,0,0,0
29,26,18,1009,0.0,4,11.2,33,0,0,0,0,0
24,28,4,1014,0.0,5,9.8,42,0,0,0,0,0
27,25,4,1017,0.0,5,9.6,43,0,0,0,0,0
21,54,4,1014,0.0,4,9.8,43,0,0,0,0,0
33,24,5,1006,0.0333333333333333,5,10.4,35,0,0,0,0,0
